"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2009","92","PM2.5","San Francisco","06-075-0005","AQS","5","9","27","92","24"
"01/02/2009","67","PM2.5","San Francisco","06-075-0005","AQS","6","23",".","67","32"
"01/03/2009","36","NO2","San Francisco","06-075-0005","AQS","9","22",".","35","36"
"01/04/2009","52","PM2.5","San Francisco","06-075-0005","AQS","10","19",".","52","32"
"01/05/2009","66","PM2.5","San Francisco","06-075-0005","AQS","7","9",".","66","31"
"01/06/2009","70","PM2.5","San Francisco","06-075-0005","AQS","7","8",".","70","28"
"01/07/2009","91","PM2.5","San Francisco","06-075-0005","AQS","6","9","28","91","29"
"01/08/2009","92","PM2.5","San Francisco","06-075-0005","AQS","7","8",".","92","24"
"01/09/2009","52","PM2.5","San Francisco","06-075-0005","AQS","7","20",".","52","37"
"01/10/2009","48","PM2.5","San Francisco","06-075-0005","AQS","10","24",".","48","38"
"01/11/2009","76","PM2.5","San Francisco","06-075-0005","AQS","18","10",".","76","50"
"01/12/2009","49","PM2.5","San Francisco","06-075-0005","AQS","19","17",".","49","39"
"01/13/2009","55","PM2.5","San Francisco","06-075-0005","AQS","10","14","18","55","41"
"01/14/2009","94","PM2.5","San Francisco","06-075-0005","AQS","13","10",".","94","44"
"01/15/2009","82","PM2.5","San Francisco","06-075-0005","AQS","31","13",".","82","52"
"01/16/2009","86","PM2.5","San Francisco","06-075-0005","AQS","33","10",".","86","49"
"01/17/2009","136","PM2.5","San Francisco","06-075-0005","AQS","15","13",".","136","49"
"01/18/2009","115","PM2.5","San Francisco","06-075-0005","AQS","15","26",".","115","44"
"01/19/2009","63","PM2.5","San Francisco","06-075-0005","AQS","10","17","22","63","55"
"01/20/2009","66","PM2.5","San Francisco","06-075-0005","AQS","14","13",".","66","50"
"01/21/2009","64","PM2.5","San Francisco","06-075-0005","AQS","15","3",".","64","49"
"01/22/2009","67","PM2.5","San Francisco","06-075-0005","AQS","7","6",".","67","36"
"01/23/2009","59","PM2.5","San Francisco","06-075-0005","AQS","7","15",".","59","29"
"01/24/2009","52","PM2.5","San Francisco","06-075-0005","AQS","6","32",".","52","14"
"01/25/2009","32","Ozone","San Francisco","06-075-0005","AQS","3","32","11","30","23"
"01/26/2009","29","NO2","San Francisco","06-075-0005","AQS","7","22",".","23","29"
"01/27/2009","42","NO2","San Francisco","06-075-0005","AQS","9","20",".","34","42"
"01/28/2009","56","PM2.5","San Francisco","06-075-0005","AQS","10","17",".","56","37"
"01/29/2009","57","PM2.5","San Francisco","06-075-0005","AQS","13","19",".","57","55"
"01/30/2009","82","PM2.5","San Francisco","06-075-0005","AQS","13","15",".","82","37"
"01/31/2009","71","PM2.5","San Francisco","06-075-0005","AQS","9","12","28","71","33"
"02/01/2009","62","PM2.5","San Francisco","06-075-0005","AQS","13","23",".","62","42"
"02/02/2009","104","PM2.5","San Francisco","06-075-0005","AQS","13","19",".","104","51"
"02/03/2009","105","PM2.5","San Francisco","06-075-0005","AQS","13","18",".","105","55"
"02/04/2009","76","PM2.5","San Francisco","06-075-0005","AQS","13","23",".","76","46"
"02/05/2009","32","NO2","San Francisco","06-075-0005","AQS","6","29",".","27","32"
"02/06/2009","36","PM2.5","San Francisco","06-075-0005","AQS","6","26","8","36","36"
"02/07/2009","45","PM2.5","San Francisco","06-075-0005","AQS","5","22",".","45","25"
"02/08/2009","47","PM2.5","San Francisco","06-075-0005","AQS","5","34",".","47","25"
"02/09/2009","29","Ozone","San Francisco","06-075-0005","AQS","5","29",".","25","28"
"02/10/2009","34","NO2","San Francisco","06-075-0005","AQS","7","30",".","23","34"
"02/11/2009","37","NO2","San Francisco","06-075-0005","AQS","7","28",".","24","37"
"02/12/2009","35","NO2","San Francisco","06-075-0005","AQS","5","29","10","24","35"
"02/13/2009","41","NO2","San Francisco","06-075-0005","AQS","5","31",".","20","41"
"02/14/2009","33","Ozone","San Francisco","06-075-0005","AQS","5","33",".","13","13"
"02/15/2009","35","Ozone","San Francisco","06-075-0005","AQS","3","35",".","15","11"
"02/16/2009","33","Ozone","San Francisco","06-075-0005","AQS","3","33",".","18","18"
"02/17/2009","31","Ozone","San Francisco","06-075-0005","AQS","5","31",".","27","30"
"02/18/2009","36","PM2.5","San Francisco","06-075-0005","AQS","7","17","13","36","36"
"02/19/2009","48","PM2.5","San Francisco","06-075-0005","AQS","9","22",".","48","47"
"02/20/2009","57","PM2.5","San Francisco","06-075-0005","AQS","11","19",".","57","45"
"02/21/2009","58","PM2.5","San Francisco","06-075-0005","AQS","11","29",".","58","38"
"02/22/2009","32","Ozone","San Francisco","06-075-0005","AQS","5","32",".","19","8"
"02/23/2009","30","Ozone","San Francisco","06-075-0005","AQS","5","30",".","24","16"
"02/24/2009","39","NO2","San Francisco","06-075-0005","AQS","6","33","12","38","39"
"02/25/2009","30","Ozone","San Francisco","06-075-0005","AQS","5","30",".","20","26"
"02/26/2009","31","Ozone","San Francisco","06-075-0005","AQS","6","31",".","17","28"
"02/27/2009","42","NO2","San Francisco","06-075-0005","AQS","8","28",".","26","42"
"02/28/2009","55","PM2.5","San Francisco","06-075-0005","AQS","9","18",".","55","37"
"03/01/2009","47","PM2.5","San Francisco","06-075-0005","AQS","9","37",".","47","27"
"03/02/2009","40","Ozone","San Francisco","06-075-0005","AQS","5","40","9","22","27"
"03/03/2009","38","Ozone","San Francisco","06-075-0005","AQS","5","38",".","24","21"
"03/04/2009","43","NO2","San Francisco","06-075-0005","AQS","6","35",".","15","43"
"03/05/2009","31","Ozone","San Francisco","06-075-0005","AQS","6","31",".","26","24"
"03/06/2009","33","Ozone","San Francisco","06-075-0005","AQS","6","33",".","17","30"
"03/07/2009","34","PM2.5","San Francisco","06-075-0005","AQS","7","31",".","34","32"
"03/08/2009","36","Ozone","San Francisco","06-075-0005","AQS","5","36","16","32","11"
"03/09/2009","35","Ozone","San Francisco","06-075-0005","AQS","5","35",".","15","27"
"03/10/2009","33","NO2","San Francisco","06-075-0005","AQS","6","31",".","18","33"
"03/11/2009","42","NO2","San Francisco","06-075-0005","AQS","7","29",".","35","42"
"03/12/2009","44","PM2.5","San Francisco","06-075-0005","AQS","6","31",".","44","29"
"03/13/2009","43","PM2.5","San Francisco","06-075-0005","AQS","5","37",".","43","20"
"03/14/2009","37","Ozone","San Francisco","06-075-0005","AQS","5","37","11","25","15"
"03/15/2009","31","Ozone","San Francisco","06-075-0005","AQS","5","31",".","20","10"
"03/16/2009","27","Ozone","San Francisco","06-075-0005","AQS","6","27",".","26","26"
"03/17/2009","28","PM2.5","San Francisco","06-075-0005","AQS","5","25",".","28","28"
"03/18/2009","52","PM2.5","San Francisco","06-075-0005","AQS","6","18",".","52","28"
"03/19/2009","52","PM2.5","San Francisco","06-075-0005","AQS","7","28",".","52","34"
"03/20/2009","31","Ozone","San Francisco","06-075-0005","AQS","5","31","12","25","26"
"03/21/2009","44","Ozone","San Francisco","06-075-0005","AQS","5","44",".","20","10"
"03/22/2009","44","Ozone","San Francisco","06-075-0005","AQS","5","44",".","24","8"
"03/23/2009","33","Ozone","San Francisco","06-075-0005","AQS","6","33",".","20","26"
"03/24/2009","42","NO2","San Francisco","06-075-0005","AQS","8","26",".","38","42"
"03/25/2009","51","PM2.5","San Francisco","06-075-0005","AQS","8","27",".","51","43"
"03/26/2009","37","PM2.5","San Francisco","06-075-0005","AQS",".",".","19","37","."
"03/27/2009","57","PM2.5","San Francisco","06-075-0005","AQS","9","27",".","57","40"
"03/28/2009","63","PM2.5","San Francisco","06-075-0005","AQS","8","27",".","63","32"
"03/29/2009","42","PM2.5","San Francisco","06-075-0005","AQS","5","36",".","42","13"
"03/30/2009","36","PM2.5","San Francisco","06-075-0005","AQS","5","34",".","36","24"
"03/31/2009","59","PM2.5","San Francisco","06-075-0005","AQS","8","31",".","59","44"
"04/01/2009","47","PM2.5","San Francisco","06-075-0005","AQS","5","31","21","47","29"
"04/02/2009","33","PM2.5","San Francisco","06-075-0005","AQS","3","33",".","33","16"
"04/03/2009","52","PM2.5","San Francisco","06-075-0005","AQS","5","35",".","52","42"
"04/04/2009","47","PM2.5","San Francisco","06-075-0005","AQS","6","42",".","47","46"
"04/05/2009","51","Ozone","San Francisco","06-075-0005","AQS","6","51",".","48","44"
"04/06/2009","56","PM2.5","San Francisco","06-075-0005","AQS","7","44",".","56","45"
"04/07/2009","40","PM2.5","San Francisco","06-075-0005","AQS","5","38","13","40","33"
"04/08/2009","40","Ozone","San Francisco","06-075-0005","AQS","3","40",".","19","21"
