"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2018","87","PM2.5","Oakland West","06-001-0011","AQS","15","34","3",".","87","41"
"01/02/2018","95","PM2.5","Oakland West","06-001-0011","AQS","22","38","4","38","95","45"
"01/03/2018","142","PM2.5","Concord","06-013-0002","AQS","17","36","4",".","142","46"
"01/04/2018","145","PM2.5","Concord","06-013-0002","AQS","16","26","4",".","145","34"
"01/05/2018","58","PM2.5","Concord","06-013-0002","AQS","10","29","4",".","58","32"
"01/06/2018","51","PM2.5","Laney College","06-001-0012","AQS","14","30","4",".","51","27"
"01/07/2018","65","PM2.5","Laney College","06-001-0012","AQS","17","22","3",".","65","23"
"01/08/2018","52","PM2.5","Oakland West","06-001-0011","AQS","14","19","3","6","52","29"
"01/09/2018","34","Ozone","Redwood City","06-081-1001","AQS","8","34","3",".","32","23"
"01/10/2018","44","PM2.5","Laney College","06-001-0012","AQS","8","29","3",".","44","36"
"01/11/2018","61","PM2.5","Laney College","06-001-0012","AQS","10","24","3",".","61","32"
"01/12/2018","59","PM2.5","Oakland West","06-001-0011","AQS","13","28","6",".","59","29"
"01/13/2018","64","PM2.5","San Rafael","06-041-0001","AQS","15","25","3",".","64","35"
"01/14/2018","91","PM2.5","San Rafael","06-041-0001","AQS","9","19","1","29","91","25"
"01/15/2018","91","PM2.5","San Rafael","06-041-0001","AQS","9","19","9",".","91","28"
"01/16/2018","71","PM2.5","Concord","06-013-0002","AQS","11","19","3",".","71","31"
"01/17/2018","81","PM2.5","Oakland West","06-001-0011","AQS","9","16","1",".","81","26"
"01/18/2018","68","PM2.5","San Francisco","06-075-0005","AQS","10","33","6",".","68","29"
"01/19/2018","35","Ozone","Bethel Island","06-013-1002","AQS","11","35","3",".","34","33"
"01/20/2018","45","PM2.5","Oakland West","06-001-0011","AQS","8","31","6","12","45","30"
"01/21/2018","53","PM2.5","Laney College","06-001-0012","AQS","13","36","4",".","53","26"
"01/22/2018","48","PM2.5","Concord","06-013-0002","AQS","8","32","4",".","48","25"
"01/23/2018","52","PM2.5","Redwood City","06-081-1001","AQS","11","27","3",".","52","33"
"01/24/2018","53","PM2.5","Oakland West","06-001-0011","AQS","14","35","6",".","53","28"
"01/25/2018","39","NO2","San Francisco","06-075-0005","AQS","8","34","11",".","38","39"
"01/26/2018","53","PM2.5","Oakland West","06-001-0011","AQS","9","30","4","17","53","37"
"01/27/2018","45","PM2.5","Oakland West","06-001-0011","AQS","10","31","3",".","45","28"
"01/28/2018","44","PM2.5","Concord","06-013-0002","AQS","9","31","4",".","44","31"
"01/29/2018","76","PM2.5","Laney College","06-001-0012","AQS","11","30","9",".","76","40"
"01/30/2018","62","PM2.5","Laney College","06-001-0012","AQS","16","21","7",".","62","36"
"01/31/2018","62","PM2.5","San Francisco","06-075-0005","AQS","15","33","7",".","62","42"
"02/01/2018","61","PM2.5","Laney College","06-001-0012","AQS","15","35","6","22","61","42"
"02/02/2018","63","PM2.5","Oakland West","06-001-0011","AQS","22","31","7",".","63","49"
"02/03/2018","59","PM2.5","Laney College","06-001-0012","AQS","15","38","10",".","59","42"
"02/04/2018","62","PM2.5","Laney College","06-001-0012","AQS","17","34","3",".","62","35"
"02/05/2018","63","PM2.5","Oakland West","06-001-0011","AQS","17","36","6",".","63","39"
"02/06/2018","52","PM2.5","Oakland West","06-001-0011","AQS","15","39","4",".","52","42"
"02/07/2018","69","PM2.5","Concord","06-013-0002","AQS","17","42","4","32","69","48"
"02/08/2018","95","PM2.5","Oakland West","06-001-0011","AQS","17","39","14",".","95","61"
"02/09/2018","60","PM2.5","Laney College","06-001-0012","AQS","13","33","17",".","60","53"
"02/10/2018","47","PM2.5","Oakland West","06-001-0011","AQS","10","40","4",".","47","37"
"02/11/2018","45","PM2.5","Concord","06-013-0002","AQS","8","39","4",".","45","29"
"02/12/2018","34","PM2.5","Concord","06-013-0002","AQS","7","33","11",".","34","32"
"02/13/2018","40","NO2","San Francisco","06-075-0005","AQS","9","34","9","10","36","40"
"02/14/2018","81","PM2.5","Concord","06-013-0002","AQS","17","35","11",".","81","47"
"02/15/2018","48","PM2.5","Concord","06-013-0002","AQS","10","36","7",".","48","45"
"02/16/2018","73","PM2.5","Oakland West","06-001-0011","AQS","17","34","16",".","73","43"
"02/17/2018","56","PM2.5","Oakland West","06-001-0011","AQS","14","39","7",".","56","32"
"02/18/2018","43","PM2.5","Oakland West","06-001-0011","AQS","6","41","3",".","43","15"
"02/19/2018","45","PM2.5","Concord","06-013-0002","AQS","7","38","11","10","45","27"
"02/20/2018","45","PM2.5","Concord","06-013-0002","AQS","8","35","4",".","45","36"
"02/21/2018","50","PM2.5","Concord","06-013-0002","AQS","6","38","16",".","50","40"
"02/22/2018","49","PM2.5","Concord","06-013-0002","AQS","6","40","1",".","49","32"
"02/23/2018","46","NO2","San Francisco","06-075-0005","AQS","8","37","7",".","45","46"
"02/24/2018","48","PM2.5","Concord","06-013-0002","AQS","13","40","4",".","48","32"
"02/25/2018","48","PM2.5","Laney College","06-001-0012","AQS","8","39","4","9","48","25"
"02/26/2018","38","Ozone","Bethel Island","06-013-1002","AQS","6","38","1",".","33","29"
"02/27/2018","39","Ozone","Bethel Island","06-013-1002","AQS","7","39","13",".","36","37"
"02/28/2018","41","PM2.5","Oakland West","06-001-0011","AQS","8","34","9",".","41","39"
"03/01/2018","42","PM2.5","Oakland West","06-001-0011","AQS","6","41","9",".","42","23"
"03/02/2018","38","Ozone","Livermore","06-001-0007","AQS","7","38","11",".","33","34"
"03/03/2018","40","Ozone","San Pablo","06-013-1004","AQS","7","40","4","7","33","26"
"03/04/2018","52","PM2.5","Concord","06-013-0002","AQS","7","38","3",".","52","26"
"03/05/2018","36","Ozone","Hayward","06-001-2001","AQS","8","36","6",".","30","36"
"03/06/2018","56","NO2","San Francisco","06-075-0005","AQS","9","38","6",".","53","56"
"03/07/2018","52","PM2.5","Oakland West","06-001-0011","AQS","11","49","14",".","52","42"
"03/08/2018","37","Ozone","Bethel Island","06-013-1002","AQS","7","37","13",".","28","34"
"03/09/2018","49","PM2.5","Laney College","06-001-0012","AQS","7","33","3","9","49","29"
"03/10/2018","58","PM2.5","Laney College","06-001-0012","AQS","8","23","4",".","58","31"
"03/11/2018","64","PM2.5","Oakland West","06-001-0011","AQS","9","41","11",".","64","24"
"03/12/2018","52","PM2.5","Oakland West","06-001-0011","AQS","9","32","10",".","52","32"
"03/13/2018","38","Ozone","San Pablo","06-013-1004","AQS","6","38","6",".","34","26"
"03/14/2018","42","Ozone","San Pablo","06-013-1004","AQS","6","42","6",".","33","35"
"03/15/2018","57","NO2","San Francisco","06-075-0005","AQS","7","40","10","12","38","57"
"03/16/2018","40","NO2","San Francisco","06-075-0005","AQS","7","39","10",".","31","40"
"03/17/2018","43","NO2","San Francisco","06-075-0005","AQS","9","38","7",".","38","43"
"03/18/2018","51","PM2.5","Oakland West","06-001-0011","AQS","10","36","4",".","51","32"
"03/19/2018","49","PM2.5","Oakland West","06-001-0011","AQS","13","38","4",".","49","38"
"03/20/2018","54","PM2.5","Concord","06-013-0002","AQS","8","34","4",".","54","37"
"03/21/2018","39","PM2.5","Concord","06-013-0002","AQS","10","36","3","6","39","28"
"03/22/2018","44","PM2.5","Concord","06-013-0002","AQS","8","42","1",".","44","24"
"03/23/2018","48","PM2.5","Concord","06-013-0002","AQS","8","42","3",".","48","42"
"03/24/2018","44","Ozone","Livermore","06-001-0007","AQS","7","44","6",".","38","20"
"03/25/2018","41","Ozone","Bethel Island","06-013-1002","AQS","7","41","3",".","38","24"
"03/26/2018","40","Ozone","Bethel Island","06-013-1002","AQS","7","40","4",".","37","37"
"03/27/2018","52","PM2.5","Laney College","06-001-0012","AQS","9","40","4","21","52","43"
"03/28/2018","58","PM2.5","Oakland West","06-001-0011","AQS","11","40","7",".","58","36"
"03/29/2018","60","PM2.5","Oakland West","06-001-0011","AQS","10","42","9",".","60","41"
"03/30/2018","60","PM2.5","Oakland West","06-001-0011","AQS","9","44","9",".","60","41"
