"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2005","30","NO2","San Francisco","06-075-0005","AQS","13","29","1",".","20","30"
"01/02/2005","27","Ozone","San Francisco - Bayview Hunters Point","06-075-0006","AQS","11","27","3",".","15","22"
"01/03/2005","44","NO2","San Francisco","06-075-0005","AQS","9","17","6",".","23","44"
"01/04/2005","52","PM2.5","San Francisco - Bayview Hunters Point","06-075-0006","AQS","14","9","4","19","52","35"
"01/05/2005","66","PM2.5","San Francisco","06-075-0005","AQS","13","4","4",".","66","31"
"01/06/2005","69","PM2.5","San Francisco","06-075-0005","AQS","9","18","4",".","69","34"
"01/07/2005","34","Ozone","San Francisco","06-075-0005","AQS","11","34","6",".","15","19"
"01/08/2005","33","Ozone","San Francisco - Bayview Hunters Point","06-075-0006","AQS","10","33","3",".","15","19"
"01/09/2005","37","NO2","San Francisco","06-075-0005","AQS","15","24","3",".","29","37"
"01/10/2005","42","PM2.5","San Francisco","06-075-0005","AQS","16","36","6","18","42","34"
"01/11/2005","37","NO2","San Francisco","06-075-0005","AQS","10","35","4",".","18","37"
"01/12/2005","55","PM2.5","San Francisco","06-075-0005","AQS","13","18","16",".","55","38"
"01/13/2005","80","PM2.5","San Francisco","06-075-0005","AQS","13","5","7",".","80","35"
"01/14/2005","76","PM2.5","San Francisco","06-075-0005","AQS","10","8","6",".","76","32"
"01/15/2005","105","PM2.5","San Francisco","06-075-0005","AQS","10","8","9",".","105","29"
"01/16/2005","91","PM2.5","San Francisco","06-075-0005","AQS","13","11","13","33","91","32"
"01/17/2005","97","PM2.5","San Francisco - Bayview Hunters Point","06-075-0006","AQS","15","5","10",".","97","29"
"01/18/2005","98","PM2.5","San Francisco - Bayview Hunters Point","06-075-0006","AQS","10","5","7",".","98","26"
"01/19/2005","85","PM2.5","San Francisco","06-075-0005","AQS","11","6","6",".","85","28"
"01/20/2005","92","PM2.5","San Francisco","06-075-0005","AQS","11","5","10",".","92","30"
"01/21/2005","90","PM2.5","San Francisco - Bayview Hunters Point","06-075-0006","AQS","15","5","9",".","90","34"
"01/22/2005","103","PM2.5","San Francisco","06-075-0005","AQS","11","8","9","35","103","27"
"01/23/2005","76","PM2.5","San Francisco","06-075-0005","AQS","11","11","17",".","76","33"
"01/24/2005","116","PM2.5","San Francisco - Bayview Hunters Point","06-075-0006","AQS","13","5","19",".","116","34"
"01/25/2005","115","PM2.5","San Francisco","06-075-0005","AQS","19","7","20",".","115","33"
"01/26/2005","45","PM2.5","San Francisco","06-075-0005","AQS","19","32","4",".","45","33"
"01/27/2005","37","Ozone","San Francisco - Bayview Hunters Point","06-075-0006","AQS","14","37","6",".","31","34"
"01/28/2005","34","Ozone","San Francisco - Bayview Hunters Point","06-075-0006","AQS","13","34","6","19","26","26"
"01/29/2005","37","NO2","San Francisco","06-075-0005","AQS","13","25","4",".","31","37"
"01/30/2005","41","PM2.5","San Francisco","06-075-0005","AQS","19","17","13",".","41","33"
"01/31/2005","55","PM2.5","San Francisco - Bayview Hunters Point","06-075-0006","AQS","15","12","9",".","55","36"
"02/01/2005","47","NO2","San Francisco","06-075-0005","AQS","20","23","10",".","46","47"
