"STATION","NAME","DATE","AWND","FMTM","PGTM","WDF2","WDF5","WSF2","WSF5"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-01","3.58"," 1635"," 1634","  280","  280","14.1","16.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-02","2.91"," 1016"," 2356","   20","  220","8.1","8.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-03","3.80"," 0517"," 0516","   10","   10","13.0","14.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-04","2.91"," 2206"," 2204","   10","   10","8.9","10.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-05","4.03"," 0702"," 0702","  360","  360","10.1","12.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-06","4.03"," 2110"," 2109","  360","  360","13.0","14.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-07","4.03"," 1717"," 1721","  270","  270","14.1","17.0"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-08","6.49"," 1755"," 1604","  260","  220","17.9","25.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-09","4.47"," 0022"," 0021","  260","  260","12.1","14.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-10","7.38"," 1330"," 1330","  260","  260","15.0","17.0"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-11","6.93"," 2258"," 2158","  260","  240","17.0","19.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-12","6.49"," 0843"," 1420","  250","  260","15.0","16.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-13","8.50"," 1353"," 1350","  160","  160","19.9","23.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-14","9.40"," 0338"," 0337","  240","  240","19.9","23.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-15","8.50"," 0747"," 0745","  260","  250","17.0","21.0"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-16","4.47"," 1833"," 1834","  270","  270","15.0","16.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-17","5.59"," 1631"," 1622","  340","  340","15.0","19.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-18","8.72"," 1803"," 1724","   50","   40","14.1","16.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-19","3.36"," 1610"," 1609","  160","  170","13.0","19.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-20","3.58"," 0916"," 1633","  130","  270","8.9","10.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-21","7.83"," 1239"," 1241","  170","  180","17.0","23.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-22","5.37"," 1612"," 1611","  180","  180","16.1","21.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-23","2.91"," 1454"," 1453","   90","   90","8.9","10.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-24","5.82"," 0930"," 0936","  350","  350","14.1","15.0"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-25","4.70"," 1952"," 2012","   60","   60","14.1","16.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-26","4.03"," 1511"," 1512","   10","   10","6.9","6.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-27","3.58"," 1002"," 1002","  110","  100","8.9","10.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-28","2.46"," 1642"," 1642","   10","   10","8.1","8.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-29","2.24"," 0957"," 1556","   10","  160","10.1","12.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-30","7.61"," 2055"," 2054","  260","  260","19.9","21.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-12-31","3.58"," 1521"," 0027","   10","  280","10.1","13.0"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2001-01-01","3.58"," 1232"," 1243","  110","  110","10.1","10.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2001-01-02","2.91"," 0949"," 0952","  100","  100","10.1","10.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2001-01-03","2.68"," 2313"," 2326","   10","   10","10.1","10.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2001-01-04","3.58"," 0841"," 0839","   10","   10","8.9","10.1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2001-01-05","4.70"," 0843"," 0842","  360","  360","15.0","17.0"
