,date,bins,total_size,air_aquality
0,2001-01-01,bigger then 400,1.1,153
1,2001-01-01,within 150,0.1,153
2,2001-01-01,within 250,0.1,153
3,2001-01-01,within 300,0.1,153
4,2001-01-01,within 400,0.1,153
5,2001-01-02,within 150,0.1,140
6,2001-01-02,within 350,0.1,140
7,2001-01-02,within 400,0.2,140
8,2001-01-03,bigger then 400,0.2,140
9,2001-01-03,within 200,0.1,140
10,2001-01-03,within 250,0.1,140
11,2001-01-03,within 400,0.1,140
12,2001-01-04,bigger then 400,0.4,107
13,2001-01-04,within 200,4.0,107
14,2001-01-04,within 300,0.1,107
15,2001-01-04,within 350,2.0,107
16,2001-01-04,within 400,3.3000000000000003,107
17,2001-01-05,bigger then 400,0.1,124
18,2001-01-05,within 150,24.0,124
19,2001-01-05,within 200,15.0,124
20,2001-01-05,within 250,81.3,124
21,2001-01-05,within 350,25.5,124
22,2001-01-05,within 400,0.1,124
23,2001-01-06,within 300,2.5,147
24,2001-01-06,within 350,3.0,147
25,2001-01-07,bigger then 400,10353.1,150
26,2001-01-07,within 150,5.0,150
27,2001-01-07,within 200,0.1,150
28,2001-01-07,within 250,5.0,150
29,2001-01-08,bigger then 400,0.9999999999999999,39
30,2001-01-08,within 150,10.0,39
31,2001-01-08,within 50,0.1,39
32,2001-01-09,within 200,0.1,43
33,2001-01-10,bigger then 400,0.1,33
34,2001-01-11,,,34
35,2001-01-12,,,34
36,2001-01-13,within 400,3.0,25
37,2001-01-14,bigger then 400,0.1,34
38,2001-01-14,within 100,0.1,34
39,2001-01-14,within 150,0.1,34
40,2001-01-15,bigger then 400,0.1,39
41,2001-01-15,within 300,0.8,39
42,2001-01-16,within 200,1.0,39
43,2001-01-17,,,40
44,2001-01-18,,,79
45,2001-01-19,bigger then 400,0.1,111
46,2001-01-19,within 150,1.0,111
47,2001-01-19,within 200,0.2,111
48,2001-01-20,bigger then 400,0.1,158
49,2001-01-21,,,162
50,2001-01-22,bigger then 400,0.1,111
51,2001-01-22,within 300,0.5,111
52,2001-01-22,within 350,0.1,111
53,2001-01-23,,,42
54,2001-01-24,,,45
55,2001-01-25,bigger then 400,0.1,42
56,2001-01-26,,,37
57,2001-01-27,within 200,0.1,38
58,2001-01-27,within 350,0.1,38
59,2001-01-28,within 400,0.1,52
60,2001-01-29,,,36
61,2001-01-30,bigger then 400,0.1,39
62,2001-01-31,within 350,5.0,47
63,2001-02-01,within 250,0.1,88
64,2001-02-02,within 250,0.1,117
65,2001-02-03,within 100,0.1,76
66,2001-02-04,within 150,1.0,42
67,2001-02-04,within 350,5.0,42
68,2001-02-05,,,34
69,2001-02-06,within 250,10.1,38
70,2001-02-07,bigger then 400,0.1,42
71,2001-02-07,within 150,0.1,42
72,2001-02-08,within 100,0.1,54
73,2001-02-08,within 350,0.1,54
74,2001-02-08,within 50,0.1,54
75,2001-02-09,bigger then 400,0.1,31
76,2001-02-09,within 300,0.1,31
77,2001-02-10,within 100,1.0,34
78,2001-02-11,,,34
79,2001-02-12,bigger then 400,0.1,35
80,2001-02-13,,,45
81,2001-02-14,within 350,0.1,42
82,2001-02-15,,,49
83,2001-02-16,,,37
84,2001-02-17,within 400,0.1,36
85,2001-02-18,within 400,0.1,30
86,2001-02-19,,,37
87,2001-02-20,bigger then 400,0.2,30
88,2001-02-21,bigger then 400,0.1,37
89,2001-02-22,,,30
90,2001-02-23,bigger then 400,0.2,30
91,2001-02-23,within 250,0.1,30
92,2001-02-23,within 50,0.1,30
93,2001-02-24,bigger then 400,0.1,32
94,2001-02-25,,,35
95,2001-02-26,within 250,1.0,44
96,2001-02-27,within 150,0.1,51
97,2001-02-27,within 250,45.0,51
98,2001-02-28,within 150,0.1,46
99,2001-02-28,within 200,0.1,46
